[00:00:00 - 00:01:00] | Э. Шмидт | Весьма широкий спектр вопросов, Сергей.
[01:22:00 - 01:23:00] | С. Гуриев | Как Вы думаете, какое воздействие эта технология окажет на социальные взаимодействия? С одной стороны, все будут говорить на одном языке. Очень похоже на вавилонскую рыбу из романа «Автостопом по галактике». С другой стороны, будут ли люди изучать иностранные языки, чтобы понимать зарубежную культуру или читать книги на этих языках? Не исчезнет ли профессия переводчика?
[01:23:00 - 01:24:00] | Э. Шмидт | Да, это еще один кризис. Вы правы.
[01:24:00 - 01:25:00] | С. Гуриев | Безусловно. Во всех университетах закроются отделения иностранных языков.
[01:25:00 - 01:26:00] | Э. Шмидт | Ах, да. Это ужасно.
[01:26:00 - 01:27:00] | С. Гуриев | Да. Но я могу с определенностью сказать, что не сожалею об этом. Но я думаю: разве люди не будут скучать по изучению иностранных языков?
[01:27:00 - 01:28:00] | Э. Шмидт | Мне кажется, хорошая сторона проблемы состоит в том, что при реализации этого сценария роль переводчиков будет возрастать. Люди любопытны, а технологии создания вычислительной техники в рассматриваемый период не позволят обеспечить качество перевода, сопоставимое с работой профессионального переводчика. И, в любом случае, будет трудно обеспечить автоматический перевод всех нюансов художественной литературы. Я считаю, что в этом есть и положительный аспект — отрасль изучения иностранных языков будет расти. Люди совершенно неверно предполагают, будто изменения приведут к сжатию рынка. Насколько я могу судить по личному опыту, происходит обратное: после создания той же системы «Новости Google» стало больше новостей, а не меньше газет.
[01:28:00 - 01:29:00] | С. Гуриев | Но сократились заработки.
[01:29:00 - 01:30:00] | Э. Шмидт | Это проблема переходного периода.
[01:30:00 - 01:31:00] | С. Гуриев | Ясно. Хорошо.
[01:31:00 - 01:32:00] | Э. Шмидт | Еще раз повторю, что для тривиальных, рутинных переводов, таких как «Где мое такси?» и «Где моя гостиница?», эта услуга может стать менее ценной, поскольку компьютеры способны решать такие задачи. Но поскольку людям все более интересен окружающий их мир, услуги профессиональных переводчиков, вероятно, будут стоить дороже. Еще раз напоминаю, что необходимо представлять полную картину изменений бизнеса, в которую должны входить все нюансы. Но если думать об этом не как о проблеме бизнеса, а как о социальной проблеме, то в течение срока нашей жизни мы проделали путь от ситуации, когда доступ к библиотекам и знаниям в западном мире и в России был открыт лишь очень узкому кругу элиты, до свободного доступа к этим знаниям всех и каждого. По разумной оценке, в течение срока нашей жизни на планете будут жить от семи до восьми миллиардов человек. Разумно предположить, что примерно от пяти до семи миллиардов из них будут иметь доступ почти ко всей информации в мире: плохой, хорошей, на всех языках, ко всем книгам, ко всей литературе, ко всей истории, ко всем экспонатам Эрмитажа и так далее. А для нас, умудренных опытом, по-западному мыслящих и образованных людей, доступ к этой информации — волнующее событие. Если вы выросли в маленькой сельской деревушке в бедной части Азии, и вдруг появляется iPhone, iPad, устройство на базе Android или что угодно другое, это меняет всю жизнь. Вместо того чтобы использовать окружающих в качестве источника знаний, вы можете обратиться к опыту семи миллиардов человек, и это не преувеличение. Использование подобной возможности приведет к огромному росту творческой активности. Все эти люди станут участниками социального взаимодействия. Я думаю, что подобный процесс окажет положительное влияние на безопасность во всем мире и прочность связей между отдельными его частями: люди будут в большей безопасности, станет меньше войн, меньше конфликтов и так далее.
[01:32:00 - 01:33:00] | С. Гуриев | Все еще продолжается спор о явлении, которое носит название «сетевые иллюзии». Некоторые утверждают, будто идеалисты с верой в то, о чем Вы говорите, составляют меньшинство. Лично я согласен с Вами.
[01:33:00 - 01:34:00] | Э. Шмидт | Между прочим, я прагматик.
[01:34:00 - 01:35:00] | С. Гуриев | Прагматический идеалист.
[01:35:00 - 01:36:00] | Э. Шмидт | Я четко выразился, что это явление имеет положительный и отрицательный аспекты.
[01:36:00 - 01:37:00] | С. Гуриев | Разумеется.
[01:37:00 - 01:38:00] | Э. Шмидт | Но хочу сказать, что оно неизбежно придет и принесет значительные изменения.
[01:38:00 - 01:39:00] | С. Гуриев | Согласен. Но мы также видим, что в некоторых странах органы государственной власти используют новые технологии (мы это только что обсуждали) для того, чтобы вершить дурные дела, создавать атмосферу недоверия и предотвращать распространение информации, применяют их в целях пропаганды и обработки общественного мнения. Как Вы думаете, насколько серьезной является эта проблема? Почему один источник информации способен доминировать над всеми остальными?
[01:39:00 - 01:40:00] | Э. Шмидт | Начнем с того, что я не говорил, будто Интернет несет с собой одно только благо. Я высказал предположение, что, в общем и целом, Интернет служит хорошим целям, но существуют некоторые негативные аспекты, с которыми необходимо разбираться. И многие из этих вопросов не связаны с Интернетом или компанией Google. Эти вопросы касаются, прежде всего, уровней доверия и образования в обществе. Давайте я приведу Вам пример. Вообразим мифический пример: идеального злого диктатора, который решил использовать Интернет, чтобы всех угнетать. Он сделал так, что вся информация хранится централизованно. В его государстве есть новостная лента, это как единственный телевизионный канал, информация распространяется потребителям через Интернет, причем диктатор пытается ограничить всех получением только этой информации. Такова классическая модель злого диктатора. В конце концов, поскольку общество в целом любопытно, люди в подобном обществе найдут возможность сделать так, чтобы голос инакомыслящих был услышан. Они будут протаскивать информацию тайком. Они будут развивать свои социальные связи. Они будут изобретать новые технологии. Я работал над тем, чтобы попытаться понять это состояние равновесия. Весьма любопытная вещь: если есть идеальный злой диктатор, самый злобный из всех (несложно догадаться, что я не одобряю таких людей), можно вообразить в том же самом обществе идеального диссидента, который использует технологии стойкого шифрования и изощренные способы маскировки, чтобы проникнуть в эту систему, атаковать ее и создать возможность выбора источников информации. И в результате именно общество определит, каким образом следует решать эту проблему. Но я не думаю, что один голос, голос одного монополиста — это разумный сценарий развития Интернета. Это чересчур гибкая среда. Существует слишком много способов. Подобному злому диктатору, будет весьма трудно обеспечить настоящий контроль за Интернетом. И я думаю, что это залог будущей свободы Интернета.
[01:40:00 - 01:41:00] | С. Гуриев | Мы скоро будем вынуждены завершить эту тематическую секцию. Подводя итог, хочу сказать, что вижу среди зрителей много молодежи. И Вы только что упомянули, что многие профессии исчезнут, что многие технологии будут поглощены новыми технологиями...
[01:41:00 - 01:42:00] | Э. Шмидт | И будут созданы новые, крупнее тех, для которых нашлась замена.
[01:42:00 - 01:43:00] | С. Гуриев | Совершенно верно. Я такой же прагматический оптимист, как и Вы. Но что Вы порекомендуете молодежи, которая находится среди зрителей? Какие варианты карьеры, на ваш взгляд, будут наилучшими?
[01:43:00 - 01:44:00] | Э. Шмидт | Что ж, создаются компании нового поколения, сочетающие некоторые из принципов, о которых я говорил. Их довольно много в Санкт-Петербурге и Москве. Подозреваю, что в других частях России их тоже более чем достаточно. Они используют сочетание информации о социальном поведении и взаимодействии людей в социальных сетях. Они применяют карты, рекламу и сведения о местности, в которой работают. Давайте назовем это явление «Мобильность, локальность, социальность». И эти компании вот-вот выйдут на первое публичное размещение акций. Некоторые объединения подобных компаний могут стать новыми многомиллиардными российскими корпорациями. И это произойдет очень быстро, поскольку органы государственной власти и телекоммуникационная отрасль занимаются прокладкой линий связи между различными частями страны. Поэтому, как мне кажется, самый быстрый способ достижения успеха для молодого предпринимателя — попытаться выяснить, на какой вопрос не смогут ответить люди в России, когда сети передачи данных станут повсеместными, и какой ответ можно будет им дать? Если вам удастся быстро это понять и построить нужную систему, то вы сможете весьма быстро развить собственный бизнес, вне зависимости от сферы, в которой работаете: поиск информации, путешествия, подбор сотрудников — годится любая. Могу сказать, что в разговорах с людьми на этом Форуме я слышу идеи, которые по уровню своего качества вполне соответствуют идеям, выдвигаемым в Кремниевой долине. Я не думаю, что эти идеи сильно различаются. Я хочу сказать, что они из одной категории в буквальном смысле слова. Поэтому есть все основания полагать, что та же самая динамика, которая сейчас служит движущей силой развития Кремниевой долины и разрабатываемых там проектов, будет присутствовать и здесь.
[01:44:00 - 01:45:00] | С. Гуриев | Большое Вам спасибо!
[01:45:00 - 01:46:00] | Э. Шмидт | Спасибо всем собравшимся! Большое вам спасибо.
