[00:00:00 - 00:01:00] | О. Гадиш | Особенно муж, да?
[00:28:00 - 00:29:00] | Э. Бьюз | Большое спасибо. Сегодня я встретилась с ним лично впервые. Здорово, правда? Питер, спасибо за это. Да, это правда, у каждого есть карта или платежное электронное средство. А значит, мы всегда должны соблюдать баланс между ростом мировой торговли и безопасностью. Сначала краткое введение, потому что, как я думаю, не все понимают, что такое Visa. Итак, Visa — это глобальная платежная сеть. Мы работаем в 200 странах мира и осуществляем операции примерно в 175 валютах. Но мы не устанавливаем сборов с торговых организаций или потребителей. Мы не даем кредитов и, как правило, не храним данные потребителей. Они хранятся в банке, выдавшем вашу карту, или в торговой организации, принявшей вашу карту. Но вот что вызывает у нас беспокойство в этом контексте, поскольку оно связано с операциями по платежным картам: мошенничество. Кто-то получает мою информацию, он может пойти и сделать покупки на мои деньги. Очень важно осознавать размеры мошенничества. Если посмотреть на систему Visa в мировом масштабе, то в то время как темпы роста платежей исчисляются в двузначных цифрах, уровень мошенничества снижается. Сегодня мошенничество находится на самом низком в истории уровне: пять центов на каждые сто долларов сделок. А через сеть Visa ежегодно проходит 5 трлн долларов США. Да, проблемы есть, но надо знать, что размеры мошенничества снижаются, и что в его предотвращение все мы вкладываем большие средства. Одним из примеров является cтандарт защиты информации в индустрии платежных карт (PCI DSS). Этот стандарт был принят всей отраслью — финансовыми учреждениями, платежными сетями, торговыми организациями, — и соблюдается во всем мире для обеспечения безопасности данных о потребителях. Совсем недавно Visa выпустила руководство по передовым технологиям шифрования и токенизации, которые обеспечат еще большую безопасность данных. И, как сказал Питер, мы постоянно инвестируем в нашу сеть на очень высоком уровне, чтобы по мере роста продаж, особенно с применением таких новых методов, как продажа товаров через Интернет и с помощью мобильного телефона, мы могли эффективно решать проблемы мошенничества — ради безопасности наших клиентов. Сегодня фактически каждая сделка, проходящая через нашу сеть, подвергается динамической оценке рисков и отслеживается на мошенничество. Это происходит с каждой сделкой, каждую секунду, каждодневно. Я хотела бы только добавить, что от всех трех участников дискуссии вы неоднократно слышали три слова: партнерство, баланс и стандарты. Я буду говорить о них в другой последовательности. Баланс действительно важен, с этого я начала. Мы должны быть способны содействовать росту, в то же время помня о безопасности. Это и есть баланс, которого мы все должны добиваться. Для его достижения мы должны быть партнерами. Мы должны вступать в партнерство с государствами. Нам нужно широкое партнерство в любой экосистеме — в случае Visa это платежная экосистема — и у нас должны быть стандарты. Мы говорили о том, что у Интернета нет границ. Если у нас не будет одинаковых стандартов по безопасности, по защите частного пространства, мы не сможем обеспечить рост.
[00:29:00 - 00:30:00] | Т. Канделаки | Я написала пост, до начала нашей панели, о блоггерше из Дамаска, и мне поступает много комментариев, может быть, и от людей, которые находятся в этом зале — не знаю. Один из комментариев мне очень понравился, он был связан с тем, что все-таки страшнее: анонимность или тотальный контроль. И если кто-то из участников панели может ответить — было бы здорово, мы потом перейдем уже к вопросам от аудитории. Собственно говоря, заметьте, как смешно: я вот сейчас смотрю, какие у меня идут комментарии, и я не знаю, эти комментарии, возможно, поступают от людей из зала, а возможно, из какой-нибудь другой точки мира. И вот это как раз очень хорошо демонстрирует то, о чем мы сегодня говорим. В двух словах, если не затруднит, кто-нибудь из участников может ответить на этот вопрос? Ответьте, пожалуйста. Наталья Касперская.
[00:30:00 - 00:31:00] | Н. Касперская | Да. Мне кажется, постановка вопроса вообще неправильна. Это как две крайности — ни одна невозможна, ни другая. Но тотальный контроль в Интернете невозможен, просто чисто технически. Для этого нужно всю систему Интернета полностью поменять, поменять всю серверную инфраструктуру «железа». Вот сейчас Интернет пытается перейти на следующий стандарт, на следующий, шестой, уровень, но это целая история. Это многолетний, сложный, тяжелый процесс. А поменять всю систему функционирования Интернета — это просто невозможно. С существующей архитектурой Интернета тотальный контроль просто невозможен. Поэтому такая постановка вопроса бессмысленна. Полная анонимность — ее тоже, в общем-то, не существует. Если мы внимательно посмотрим, то люди сами себя регистрируют, люди записываются в какие- то сервисы, они делают покупки, оставляют о себе информацию, этой информации много, эта информация накапливается, как с самого начала говорила Орит — именно об этом. В принципе, о каждом человеке уже много чего есть. Поэтому сказать, что это абсолютно анонимно, невозможно. Даже преступники совершают какие-то действия, а потом выясняется, что он или они присутствуют в социальных сетях, и можно посмотреть, чем они там занимаются. Я думаю, что просто должен соблюдаться какой-то баланс в отношении контроля. Мы должны четко понимать, какие угрозы перед нами стоят, и защищаться именно от этих угроз. Когда предприятие думает, как защититься, оно строит в первую очередь модель угроз. Тут та же самая история. Мы должны построить модель угроз и от этой модели защищаться. На государственном уровне — одна модель, на уровне частном — другая, на уровне компаний — третья. Вот и все.
[00:31:00 - 00:32:00] | Т. Канделаки | Спасибо. Орит, пожалуйста.
[00:32:00 - 00:33:00] | О. Гадиш | Это интересно. Я уже говорил, что должен быть баланс. Я, возможно, первым сказал это, когда только начал. Но это превращается в пустые слова, особенно когда интернет-провайдеры, поставщики техники и технологий держат вас в неведении. Последнее из происшествий, например, случилось на Facebook, с технологией распознавания лиц, о чем люди были проинформированы только после случившегося. А затем уже им пришлось сказать, что есть кнопка для отмены этой функции. Это было сделано потому, что Facebook, очевидно, хочет расширяться и зарабатывать больше денег. Такая вот это компания. Вот где идет война на самом деле. И если я хочу защитить себя, то я не буду присоединяться ни к одной социальной сети. Лично меня это не интересует. Я был в одной или двух анонимно, не под своим именем, — просто хотел посмотреть, что там происходит. Интересно оценить это с коммерческой точки зрения. Но война идет не только между странами или людьми, которые хотят совершить преступление, она идет также между людьми, которые разрабатывают технологии, и людьми, которых, как Питера и меня, очень волнуют вопросы частного пространства и которые, возможно, даже не знают, что делается. Немалое число таких компаний было вынуждено пойти на попятный под давлением со стороны клиентов, которые были по-настоящему разгневаны и взбешены. Люди, которые доверяли Sony, очевидно, не знали, что там все идет по-другому — не так, как у Питера, который по два раза в неделю заседает со своей службой безопасности. Сейчас мы понимаем, как там все идет. Поэтому вопрос очень сложный. Я имею в виду, что относительно легко сказать: «нужен баланс». Нужен, это ясно. Демократии кое-чего добились за все эти годы: существуют даже особые статьи в уголовных кодексах. И, конечно, есть, например, Интерпол. Но нельзя создать баланс, когда существует слишком много различных структур, которые хотят слишком многого и фактически воюют между собой. Форум G8 именно для этого и собирался. Они заседали четыре дня и пришли к выводу, что между ними совершенно нет согласия. Вы все время говорите, что нужен баланс. Единственное, что мне нужно для защиты себя, — это помещать как можно меньше информации о себе. Но даже и тогда нет гарантии, как это обнаружили пользователи Facebook. Итак, с чего вообще начинать создавать баланс? Где он начинается? На сегодняшний день никто не может дать ответа. Вопрос, как сказал Питер, становится все более острым. Я думаю, что на самом деле компьютерный терроризм является одной из главнейших проблем уже довольно много лет. Это не новая проблема. Но не существует ни одной такой структуры, которая могла бы что-то сделать в приказном порядке. Между многочисленными структурами нет согласия.
[00:33:00 - 00:34:00] | Н. Касперская | Возможно, я могу ответить на этот вопрос, потому что я совсем недавно вернулась с форума по проблемам компьютерной безопасности, организованного Институтом Восток-Запад (West-East Institute). Институт пытается создать площадку, на которой можно начать что-то делать в отношении компьютерной безопасности. Это был уже второй форум, и он проходил в Лондоне. Первый состоялся в Далласе. Весь его смысл как раз в том, чтобы решать общие угрозы, потому что существует слишком много общих угроз для всех. И необходимо что-то делать с этим. Вы говорили о решении проблем на межгосударственном уровне. Здесь я согласна: интересы у всех разные. Так Китай, вероятно, не согласился бы с США и с некоторыми другими странами. И Россия тоже с чем-то, может быть, не согласится. Если вы объедините все восемь стран для решения проблем на межгосударственном уровне, ничего, пожалуй, не получится. С другой стороны, есть общественные организации, есть частные компании, есть частные лица. И правительства должны защищать их всех. Все мы подвергаемся одним и тем же угрозам, от которых нужна защита. Это, например, детская порнография или компьютерный терроризмом, или, скажем, создание ботнет-сетей, или кража данных о кредитных картах, и так далее. Предстоит еще многое сделать. Страны пытаются договориться, эксперты садятся вместе и стараются решать. Кстати, на последнем форуме большая часть времени была посвящена определениям. Они обнаружили, что главная проблема — в разных определениях. Неизвестно, что следует определить как угрозу. Является ли вот это угрозой? Какого уровня эта угроза? Прошли различные семинары, и были даны различные определения. После создания определений, может быть, наступит следующий этап, когда страны наконец-то придут к соглашению. По крайней мере, я надеюсь на это, потому что с техническими вопросами все абсолютно ясно. Отразить такое огромное количество атак по всему миру невозможно. Абсолютно невозможно. Поэтому мы должны делать что- то вместе с общественностью, частными лицами и правительством, и особенно важно участие каждого. Нужно просвещать частные компании.
[00:34:00 - 00:35:00] | О. Гадиш | Единственное, что Вы не упомянули, это опять же компании, которые хотят делать деньги на использовании данных. Это, похоже, не является незаконным — мы говорим о частном пространстве — до тех пор, пока люди не начинают протестовать, потому что им до этого ничего не было сказано. Так что это не только проблема межгосударственных решений. Насчет детской порнографии: думаю, все в большинстве своем согласны, что это нехорошо. Но сейчас разные люди и структуры делают такие деньги, которые раньше невозможно было делать, устанавливая такие связи, которые опять же раньше никто не мог устанавливать. И их за это не наказывают, потому что это ненаказуемо.
[00:35:00 - 00:36:00] | Н. Касперская | Я думаю, что существует множество угроз. Например, если говорить только о существующих ныне вирусах, насчитывается более 50 их типов. Поэтому пытаться найти защиту от всего — это невыполнимая задача. Сперва нужно определить области, где мы можем сделать что-то вместе, и попытаться защитить эти области. Вы совершенно правы насчет частного пространства и компаний, которым нужны ваши деньги. Может быть, стоит отложить эту проблему на некоторое время, потому что есть много других вопросов, которые нужно решать. И надо начать решать какие-то проблемы, потому что имеется огромное количество проблем, которые требуют решения. Я верю, что шаг за шагом мы постепенно улучшим ситуацию.
[00:36:00 - 00:37:00] | Т. Канделаки | Спасибо, Наталья.
[00:37:00 - 00:38:00] | Э. Бьюз | Я только хотела сделать одно короткое замечание. Я считаю очень важным то, о чем говорил Орит: ясно, что потребители ожидают защиты персональных данных, и — думаю, мы все с этим согласны, — полагают, что имеют право на защиту персональных данных. И даже если эти данные используются надлежащим образом, я думаю, потребители имеют право знать, что их данные находятся у того-то. И они должны иметь право выбора относительно того, как эти данные будут использоваться. Это возвращает нас к случаю с Facebook. Потребителей следует спросить и дать возможность ответить «нет».
[00:38:00 - 00:39:00] | Т. Канделаки | Спасибо, Элизабет. Теперь, если есть вопросы из зала, то у нас осталось время только на два. Извините, что так вышло. Из зала: Это вопрос для Орита, для Элизабет, и, возможно, для Натальи Касперской. Итак, вкратце: я работаю в области высоких технологий, и постоянно сталкиваюсь с атаками хакеров. На самом деле они хотят проникнуть в системы не с определенной целью, не потому, что они, допустим, террористы. Они делают это просто из любопытства. Мой вопрос с предпринимательской точки зрения: вы никогда не думали о создании фонда, который даст этим людям право и возможность основывать компании, способные обеспечить вам новый уровень безопасности?
[00:39:00 - 00:40:00] | О. Гадиш | На самом деле это уже делается. Я имею в виду, что многие из этих людей — это хакеры, произведенные в предприниматели, чтобы помочь нам разобраться в проблеме. Это делается уже давно, хотя здесь есть эксперты, которые знают об этом больше меня.
[00:40:00 - 00:41:00] | Э. Бьюз | Одно короткое добавление. Если вы видите, как компании открывают пограничный сегмент своей сети, то, естественно, это делается под контролем, например, как это делал центр разработок в Apple. Мы в Visa открыли пограничный сегмент нашей сети и стимулировали разработку как приложений, облегчающих работу для клиентов, так и приложений, обеспечивающих безопасность данных.
[00:41:00 - 00:42:00] | П. Грауэр | Выскажу свое мнение. Любая компания, которая серьезно думает об этих проблемах, привлекает внешние фирмы для постоянного тестирования на проникновение различными способами через брандмауэры в свои сети, чтобы посмотреть, к чему это приведет, удастся проникновение или нет. Думаю, что существуют целые группы людей, которые этим занимаются.
[00:42:00 - 00:43:00] | Т. Канделаки | Пожалуйста, Фриц Морген, известный российский блоггер.
[00:43:00 - 00:44:00] | Ф. Морген | У меня вопрос к Наталье Касперской. Скажите, если бы у вас была техническая возможность щелкнуть пальцами и ликвидировать анонимность, ну, ради всеобщей безопасности, допустим — Вы бы сделали это?
[00:44:00 - 00:45:00] | Н. Касперская | Нет, конечно. Уничтожение анонимности приведет к проблемам другого рода. Мы, собственно, здесь и говорим о том, что потеря приватности — страшная вещь. Теперь представим себе, что анонимности нет: человек уже выложил о себе много чего, и о нем вообще все известно: куда зашел, что там сделал. Я даже знаю случаи, когда общение в социальных сетях приводило к совершенно ужасным последствиям. Поэтому я думаю, что Интернет таков, каким создался. Есть плюсы и минусы, но давайте жить с тем, что есть.
[00:45:00 - 00:46:00] | Т. Канделаки | Вот мы сейчас говорим, и у меня впервые появились такие мысли: насколько вообще появление Интернета — к слову, о статистике, — простимулировало повышение уровня преступности? Ведь раньше люди все-таки были ограничены не только нравственными нормами, но и отчасти законом, пониманием того, какое наказание они понесут за преступление. Сегодня Интернет дает возможность людям выплескивать свою агрессию: ты можешь сказать, что хочешь и кому хочешь, нанести какой хочешь ущерб, и никто ничего тебе не может сделать. Я думаю, что разговор об этом невозможно уложить в одну панель. Об этом можно говорить долго и бесконечно, потому что с каждым днем, с каждой минутой, с каждой секундой появляются новые возможности для все большей и большей коммуникации между людьми во всем мире, а, соответственно — чем ближе мы становимся к друг другу, тем, как выясняется, мы становимся уязвимее. Вот он — этот глобальный мир, о котором мы так много говорили, к которому мы так стремились. Мы хотели жить в глобальном мире — пожалуйста. В любую секунду мы сейчас можем по Skype связаться, с кем угодно. Но что это нам принесет — другой вопрос. Большое спасибо всем участникам панели, большое спасибо вам, дорогие гости. Я бы хотела сказать несколько слов. Ну, во-первых, понятно, что дух российских хакеров, абсолютно очевидно, был сегодня среди нас. И я абсолютно уверена в том, что сегодня вы отсюда ушли чуть менее защищенными и чуть более уязвимыми. Но такова жизнь, вы выбрали эту панель, поэтому — ничего не поделаешь — придется за это заплатить. Так как я много лет работала на телевидении, не могу не вспомнить одну банальность: когда телевидение только появилось, многие упрекали его в том, что оно оказывает давление на людей, заставляет их делать выбор, который они не собирались делать. Мы хотели бы выбирать одно, но телевидение нас убеждает в том, чтобы сделать другое. Но что телевидение? Сегодня Интернет дает нам возможность оказывать влияние на людей, и мы даже не знаем о том, что делаем это преднамеренно. В этом принципиальная разница. Мы на телевидении знаем, что адресуем вам и чего хотим от вас. А вот в Интернете, когда мы кому-то что-то адресуем, если это не крупные компании, которые должны делать деньги, если это именно частная коммуникация, — никто не знает, к чему приведет эта коммуникация. Знаете хорошую фразу: this spy camera never sleeps? Поэтому когда ты слышишь, например, о том, что Интернет — это tool of Satan, ты понимаешь, что таких людей становится все меньше и меньше, потому что противостоять этому невозможно. Просто нужно учиться в этом жить. Это самое главное. Поэтому я уверена, что человечество найдет механизм регуляции. История помнит случаи, когда от болезни умирали целые народы, но, тем не менее, потом что-то восстанавливалось, механизм восстанавливался, человечество самосохранялось. Механизм самосохранения слишком развит в человеке, для того чтобы не использовать эту потрясающую возможность, которая за 45 лет дала нам то, чего не дала ни эпоха пророков, ни эпоха возникновения письменности. Все исчисляется тысячелетиями. Интернет исчисляется десятками лет. Благодаря Питеру Брауэру, не могу не отметить то, что все подняли руки, когда он спросил, кто зарегистрирован, вы все честно сказали, что да, они зарегистрировались. Поэтому, Питер, если Вы не против, я позволю себе попросить всех, кто поднял руки, обязательно зафолловить меня в твиттере, и я надеюсь, что Вы это тоже сделаете, потому что я на новости Bloomberg подписана. Большое спасибо.
